ID	Domanda	Risposta Corretta	Risposta Errata 1	Risposta Errata 2	Risposta Errata 3
3	Cosa è la radice quadrata di 16?	4	8	6	2
3	Come si chiama una figura con otto lati?	Ottagono	Esagono	Decagono	Quadrato
3	Cosa è il teorema di Pitagora?	Relazione tra i lati di un triangolo rettangolo	Formula per calcolare l'area di un cerchio	Relazione tra i lati di un triangolo equilatero	Formula per calcolare il volume di un cubo
3	Che tipo di angoli sono quelli la cui somma è 180 gradi?	Angoli supplementari	Angoli adiacenti	Angoli complementari	Angoli opposti al vertice
3	Cosa è un numero primo?	Numero divisibile solo per 1 e per se stesso	Numero divisibile per tutti gli altri numeri	Numero pari	Numero dispari
3	Qual è il numero più piccolo?	1	0	-1	10
3	Quanto fa 5x5?	25	15	20	30
4	Chi scrisse "La Divina Commedia"?	Dante Alighieri	Giovanni Boccaccio	Francesco Petrarca	Luigi Pulci
4	Qual è il protagonista de "Il Piccolo Principe"?	Il Piccolo Principe	Il Narratore	La Volpe	La Rosa
4	Chi è l'autore di "Guerra e Pace"?	Lev Tolstoj	Fëdor Dostoevskij	Aleksandr Puškin	Anton Čechov
4	Come si chiama il protagonista de "Il Conte di Montecristo"?	Edmond Dantès	Fernand Mondego	Mercedes de Rosas	Gérard de Villefort
4	Cosa rappresenta il "Moby Dick" nel romanzo omonimo?	Una Balena Bianca	Una Nave Pirata	Una Città	Un Faro
4	Chi è il narratore di "Moby Dick"?	Ishmael	Capitano Achab	Starbuck	Queequeg
4	Qual è l'opera più famosa di William Shakespeare?	Romeo e Giulietta	Amleto	Macbeth	La Tempesta
4	Qual è il nome del cane di Sherlock Holmes?	Toby	Baskerville	Rex	Max
4	Chi è l'autore de "Il Gattopardo"?	Giuseppe Tomasi di Lampedusa	Giovanni Verga	Italo Calvino	Umberto Eco
4	Come si chiama il protagonista di "Don Chisciotte"?	Don Chisciotte	Sancho Panza	Quixote	Rocinante
5	Come si chiama l'organo principale del sistema nervoso?	Cervello	Stomaco	Cuore	Fegato
5	Cosa produce la fotosintesi clorofilliana?	Ossigeno	Anidride carbonica	Idrogeno	Ozono
5	Cosa regola il sistema endocrino?	Ormoni	Neurotrasmettitori	Enzimi	Citochine
5	Qual è il più grande organo del corpo umano?	Pelle	Fegato	Polmone	Cuore
5	Quanti denti ha un adulto?	32	28	36	30
5	Come si chiama la cellula riproduttiva maschile?	Spermatozoo	Embrione	Ovulo	Uovo
5	Come si chiama il processo di divisione cellulare?	Mitosi	Meiosi	Fotosintesi	Respirazione cellulare
5	Qual è il più grande organo interno del corpo umano?	Fegato	Rene	Polmone	Cuore
5	Qual è la più grande cellula del corpo umano?	Ovulo	Uovo	Neurone	Embrione
5	Come si chiama l'organo deputato alla digestione?	Stomaco	Fegato	Cuore	Polmone
6	Chi ha diretto "Il Padrino"?	Francis Ford Coppola	Quentin Tarantino	Martin Scorsese	Steven Spielberg
6	In quale film Leonardo DiCaprio interpreta un ladro di gioielli?	Catch Me If You Can	The Wolf of Wall Street	Inception	Shutter Island
6	Chi ha interpretato il Joker in "The Dark Knight"?	Heath Ledger	Jack Nicholson	Joaquin Phoenix	Cesar Romero
6	Qual è il film di maggior incasso di tutti i tempi?	Avengers: Endgame	Avatar	Titanic	Star Wars: Il Risveglio della Forza
6	Chi ha diretto "Pulp Fiction"?	Quentin Tarantino	Christopher Nolan	Steven Spielberg	Stanley Kubrick
6	In quale film vediamo Tom Hanks giocare a pallavolo con una palla di Wilson?	Cast Away	Forrest Gump	Saving Private Ryan	Apollo 13
6	Chi ha interpretato James Bond nel film "Skyfall"?	Daniel Craig	Pierce Brosnan	Sean Connery	Roger Moore
6	In quale film vediamo Robin Williams interpretare un insegnante non convenzionale?	L'attimo fuggente	Il buio oltre la siepe	Il Club dei Poeti Morti	Buona Domenica
6	Qual è stato il primo film a colori della storia del cinema?	Il Mago di Oz	Gone with the Wind	Casanova	The Jazz Singer
6	Chi ha diretto il film "La La Land"?	Damien Chazelle	Woody Allen	David Fincher	Quentin Tarantino
7	Chi ha dipinto "La Gioconda"?	Leonardo da Vinci	Michelangelo	Donatello	Raffaello
7	Chi ha dipinto "La Notte Stellata"?	Vincent van Gogh	Pablo Picasso	Claude Monet	Salvador Dalì
7	Qual è il movimento artistico rappresentato da Pablo Picasso?	Cubismo	Surrealismo	Impressionismo	Rinascimento
7	Chi è l'autore del dipinto "Guernica"?	Pablo Picasso	Salvador Dalì	Vincent van Gogh	Andy Warhol
7	Come si chiama il soffitto dipinto da Michelangelo nella Cappella Sistina?	La Creazione di Adamo	Il Giudizio Universale	La Battaglia di Anghiari	La Trasfigurazione
7	Qual è l'opera più famosa di Claude Monet?	Ninfee	Natura morta con le mele	Il ponte di Waterloo	Le cattive strade
7	Come si chiama il movimento artistico caratterizzato da colori vivaci e forme geometriche?	Fauvismo	Espressionismo	Surrealismo	Barocco
7	Chi è l'autore della scultura "David"?	Michelangelo	Donatello	Raffaello	Leonardo da Vinci
7	In quale città possiamo trovare la Statua della Libertà?	New York	Parigi	Londra	Roma
7	Qual è il periodo artistico che si caratterizza per l'uso di linee curve e forme organiche?	Art Nouveau	Realismo	Rococò	Neoclassicismo
8	Chi è il Segretario Generale delle Nazioni Unite?	António Guterres	Ban Ki-moon	Kofi Annan	Boutros Boutros-Ghali
8	Come si chiama l'attuale presidente degli Stati Uniti?	Joe Biden	Donald Trump	Barack Obama	George W. Bush
8	Che paese è stato il primo ad avere una donna come Primo Ministro?	Sri Lanka	India	Regno Unito	Canada
8	Qual è il principale organismo internazionale per la promozione dei diritti umani?	ONU	UNICEF	UNESCO	Corte Internazionale di Giustizia
8	Qual è l'organo decisionale principale dell'Unione Europea?	Consiglio Europeo	Commissione Europea	Parlamento Europeo	Corte di Giustizia Europea
8	Come si chiama l'attuale Cancelliere tedesco?	Olaf Scholz	Angela Merkel	Horst Seehofer	Sigmar Gabriel
8	Cosa rappresenta l'acronimo NATO?	Organizzazione del Trattato dell'Atlantico del Nord	Organizzazione delle Nazioni Unite	Nazioni Unite per la Sicurezza e la Cooperazione in Europa	Organizzazione per la Cooperazione e lo Sviluppo Economico
8	Qual è il nome della maggiore istituzione finanziaria internazionale?	Fondo Monetario Internazionale (FMI)	Banca Mondiale	Organizzazione Mondiale del Commercio (OMC)	Banca Asiatica di Sviluppo (ADB)
8	Come si chiama il trattato internazionale che mira a prevenire la proliferazione nucleare?	Trattato di Non-Proliferazione Nucleare (NPT)	Trattato di Roma	Trattato di Lisbona	Trattato di Maastricht
8	Qual è il principale organismo internazionale per la regolamentazione del commercio mondiale?	Organizzazione Mondiale del Commercio (OMC)	Fondo Monetario Internazionale (FMI)	Banca Mondiale	ONU
9	Chi è il compositore de "Le Quattro Stagioni"?	Antonio Vivaldi	Wolfgang Amadeus Mozart	Ludwig van Beethoven	Johann Sebastian Bach
9	Come si chiama il più grande compositore tedesco del periodo barocco?	Johann Sebastian Bach	Ludwig van Beethoven	Wolfgang Amadeus Mozart	Franz Schubert
9	Come si chiama il compositore di "La Traviata"?	Giuseppe Verdi	Giacomo Puccini	Gioachino Rossini	Ludwig van Beethoven
9	Cosa sono "Le Nozze di Figaro"?	Un'opera lirica	Wolfgang Amadeus Mozart	Gioachino Rossini	Giuseppe Verdi
9	Chi ha composto la "Sinfonia n. 9" meglio nota come "Sinfonia del Nuovo Mondo"?	Antonín Dvořák	Ludwig van Beethoven	Johannes Brahms	Gustav Mahler
9	Qual è l'opera più celebre di Ludwig van Beethoven?	Nona Sinfonia (Sinfonia n. 9)	Quinta Sinfonia (Sinfonia n. 5)	Sesta Sinfonia (Sinfonia Pastorale)	Settima Sinfonia (Sinfonia n. 7)
9	Come si chiama il compositore russo autore del balletto "Il lago dei cigni"?	Pëtr Il'ič Čajkovskij	Dmitrij Šostakovič	Sergej Prokof'ev	Igor' Fëdorovič Stravinskij
9	Qual è il soprannome di Wolfgang Amadeus Mozart?	Il Genio di Salisburgo	Il Padrino della Musica	Il Principe della Musica	Il Grande Compositore
9	Chi ha composto "Il Bolero"?	Maurice Ravel	Claude Debussy	Camille Saint-Saëns	Erik Satie
9	Come si chiama il compositore di "Carmen"?	Georges Bizet	Giuseppe Verdi	Gioachino Rossini	Giacomo Puccini
10	Come si chiama il piatto nazionale del Giappone?	Sushi	Ramen	Takoyaki	Soba
10	Qual è il piatto tipico della cucina messicana a base di mais?	Tortillas	Tacos	Enchiladas	Fajitas
10	Cosa si mangia tradizionalmente durante il Thanksgiving negli Stati Uniti?	Tacchino	Riso	Pollo	Pesce
10	Qual è il formaggio più consumato al mondo?	Mozzarella	Cheddar	Gouda	Emmental
10	Qual è il dolce tipico dell'Italia a base di mascarpone e caffè?	Tiramisù	Panna Cotta	Cannoli	Gelato
10	Qual è l'ingrediente principale del curry indiano?	Spezie	Pomodoro	Peperoncino	Latte di cocco
10	Come si chiama la zuppa tradizionale russa a base di barbabietole?	Borscht	Solyanka	Okroshka	Ukha
10	Qual è il piatto nazionale della Francia?	Coq au Vin	Boeuf Bourguignon	Ratatouille	Escargot
10	Qual è il condimento più utilizzato nella cucina cinese?	Salsa di soia	Aceto di riso	Peperoncino	Olio di sesamo
10	Qual è il nome del tipico pane francese a forma di bastone?	Baguette	Croissant	Brioche	Pain au chocolat
11	Come si chiama il sistema operativo sviluppato da Apple?	iOS	Android	Windows	Linux
11	Cosa rappresenta l'acronimo "HTML"?	Hypertext Markup Language	Hypertext Machine Learning	Hyperloop Transport Mechanism	Hyperspace Time Manipulation
11	Come si chiama il fondatore di Tesla Motors?	Elon Musk	Jeff Bezos	Mark Zuckerberg	Larry Page
11	Qual è il nome del fondatore di Microsoft?	Bill Gates	Steve Jobs	Mark Zuckerberg	Larry Ellison
11	Chi ha fondato Amazon?	Jeff Bezos	Elon Musk	Bill Gates	Mark Zuckerberg
11	Qual è il social network più utilizzato al mondo?	Facebook	Twitter	Instagram	LinkedIn
11	Come si chiama il co-fondatore di Google?	Larry Page	Sergey Brin	Mark Zuckerberg	Jeff Bezos
11	Cosa significa "URL"?	Uniform Resource Locator	Universal Remote Language	Unified Reporting Language	User Real Location
11	Cosa significa "CPU"?	Central Processing Unit	Computer Processing Unit	Centralized Processing Unit	Central Positioning Unit
11	Cosa rappresenta l'acronimo "VPN"?	Virtual Private Network	Virtual Public Network	Virtual Personal Network	Very Personal Network
12	In quale sport si utilizza una mazza e una palla?	Golf	Tennis	Baseball	Cricket
12	Qual è il termine inglese per definire il pareggio in una partita di calcio?	Draw	Tie	Win	Loss
12	Qual è il trofeo assegnato alla squadra vincitrice della NBA?	Larry O'Brien Championship Trophy	Stanley Cup	Vince Lombardi Trophy	Commissioner's Trophy
12	Quale sport si gioca con una palla da rugby?	Rugby	Football	American Football	Calcio
12	Come si chiama il giocatore di golf con il punteggio più basso?	Under Par	Over Par	Birdie	Bogey
12	Come si chiama la competizione calcistica tra le squadre nazionali europee?	Campionato Europeo di Calcio (Euro)	Coppa del Mondo di Calcio	Coppa America	Campionato Africano delle Nazioni
12	Qual è lo stadio più grande del mondo?	Rungrado 1st of May Stadium	Melbourne Cricket Ground	Stadio Azteca	Maracanã
12	Qual è il pilota di Formula 1 con il maggior numero di titoli mondiali?	Lewis Hamilton	Michael Schumacher	Ayrton Senna	Sebastian Vettel
12	Come si chiama la squadra di calcio di Madrid?	Real Madrid	Atletico Madrid	Barcelona	Sevilla
12	Qual è la squadra più titolata nella storia della Serie A italiana?	Juventus	AC Milan	Inter Milan	Roma
13	Come si chiama il personaggio principale della saga di Harry Potter?	Harry Potter	Ron Weasley	Hermione Granger	Albus Silente
13	Come si chiama la protagonista di "Il Signore degli Anelli"?	Frodo Baggins	Aragorn	Gandalf	Sauron
13	Chi è l'autore del romanzo "Il Codice Da Vinci"?	Dan Brown	Stephen King	J.K. Rowling	George Orwell
13	Qual è il titolo del primo libro della saga di "Cronache di Narnia"?	Il Leone la Strega e l'Armadio	Il Cavallo e il suo Ragazzo	Il Viaggio del Veliero	Il Trono di Spade
13	Come si chiama la città in cui si svolge la serie "Breaking Bad"?	Albuquerque	Los Angeles	New York	Chicago
13	Qual è il titolo della serie televisiva ambientata nel Medioevo e basata sui libri di George R.R. Martin?	Il Trono di Spade	Outlander	Vikings	The Last Kingdom
13	Chi è l'autore dei romanzi incentrati sulle avventure del giovane mago Artemis Fowl?	Eoin Colfer	Rick Riordan	J.K. Rowling	Philip Pullman
13	Qual è il nome del protagonista della serie televisiva "Breaking Bad"?	Walter White	Jesse Pinkman	Saul Goodman	Gustavo Fring
13	Qual è il nome del dottore protagonista della serie televisiva "Doctor Who"?	The Doctor	Doctor House	Doctor Strange	Doctor Dolittle
13	Chi è il protagonista del film "Forrest Gump"?	Forrest Gump	Jenny Curran	Lieutenant Dan	Bubba Blue
14	Come si dice "ciao" in spagnolo?	Hola	Ciao	Salut	Bonjour
14	Come si dice "grazie" in francese?	Merci	Grazie	Thanks	Danke
14	Come si dice "buongiorno" in tedesco?	Guten Morgen	Buongiorno	Bonjour	Buenos días
14	Come si dice "amico" in giapponese?	Tomodachi	Amigo	Ami	Amigo
14	Come si dice "casa" in russo?	дом (dom)	Casa	Home	Maison
14	Come si dice "libro" in inglese?	Book	Livre	Libro	Livro
14	Come si dice "scuola" in francese?	École	Escuela	Scuola	School
14	Come si dice "mamma" in arabo?	أم (umm)	Mama	Mother	Madre
14	Come si dice "sole" in italiano?	Sole	Sol	Sun	Sonn
14	Come si dice "acqua" in spagnolo?	Agua	Acqua	Water	Eau
15	Qual è il pianeta più vicino al Sole?	Mercurio	Venere	Terra	Marte
15	Qual è il pianeta più grande del sistema solare?	Giove	Saturno	Urano	Nettuno
15	Come si chiama la galassia in cui si trova il nostro sistema solare?	Via Lattea	Andromeda	Triangulum	Magellano
15	Come si chiama l'oggetto celeste al centro del nostro sistema solare?	Il Sole	La Luna	Giove	Marte
15	Qual è la stella più vicina alla Terra?	Proxima Centauri	Sole	Alfa Centauri	Betelgeuse
15	Come si chiama il satellite naturale della Terra?	La Luna	Deimos	Phobos	Ganimede
15	Come si chiama il più grande satellite di Giove?	Ganymede	Europa	Callisto	Io
15	Qual è la costellazione più facilmente riconoscibile nel cielo?	Orsa Maggiore	Orione	Costellazione del Cane Maggiore	Leone
15	Cosa è un'asteroide?	Un corpo celeste roccioso che orbita attorno al Sole	Un pianeta gassoso	Una stella in esplosione	Un satellite naturale
15	Come si chiama la fase della Luna in cui essa appare completamente illuminata?	Luna Piena	Luna Nuova	Luna Crescente	Luna Calante
16	Come si chiama la filosofia che si concentra sull'esistenza individuale e l'esperienza soggettiva?	Esistenzialismo	Fenomenologia	Razionalismo	Empirismo
16	Chi è stato il fondatore della filosofia occidentale?	Socrate	Platone	Aristotele	Immanuel Kant
16	Cosa ha filosofato Cartesio?	Penso, dunque sono	Il dubbio metodico	La teoria dell'innatismo	La virtù come somma felicità
16	Qual è l'idea principale del buddhismo?	Nirvana	Reincarnazione	Karma	Dharmachakra
16	Cosa è la "dialelettica" secondo Hegel?	Un processo di tesi-antitesi-sintesi	La ricerca della felicità	Il conflitto tra bene e male	La libertà dell'individuo
16	Cosa significa "Eudaimonia" nella filosofia greca?	Felicità o realizzazione umana	Stato di coscienza superiore	Conoscenza assoluta	Armonia con la natura
16	Chi è stato il primo filosofo greco a fare domande sul mondo naturale?	Talete di Mileto	Platone	Aristotele	Socrate
16	Come si chiama il trattato di etica scritto da Aristotele?	Etica Nicomachea	La Repubblica	Sofista	Timeo
16	Come si chiama la teoria filosofica secondo cui il mondo è fatto di idee non di materia?	Idealismo	Realismo	Materialismo	Riduzionismo
16	Qual è stato il contributo principale di Immanuel Kant alla filosofia?	Critica della Ragion Pura	Teoria dell'Evoluzione	Metodo Deduttivo	Critica dell'Economia Politica
17	In quale serie TV c'è il personaggio di Walter White?	Breaking Bad	Game of Thrones	Stranger Things	The Walking Dead
17	Qual è il nome del drago di Daenerys Targaryen in "Game of Thrones"?	Drogon	Rhaegal	Viserion	Balerion
17	Come si chiama il protagonista di "Sherlock"?	Sherlock Holmes	John Watson	Mycroft Holmes	Moriarty
17	Chi interpreta il personaggio di Eleven in "Stranger Things"?	Millie Bobby Brown	Finn Wolfhard	Gaten Matarazzo	Caleb McLaughlin
17	Qual è la città immaginaria in cui si svolgono le vicende di "Friends"?	New York	Los Angeles	Central Perk	Monica's Apartment
17	Come si chiama la famiglia protagonista de "I Simpson"?	Simpson	Flanders	Wiggum	Van Houten
17	In quale serie TV c'è il personaggio di Jon Snow?	Game of Thrones	The Walking Dead	Breaking Bad	Stranger Things
17	Come si chiama il protagonista di "Breaking Bad"?	Walter White	Jesse Pinkman	Saul Goodman	Gus Fring
17	Chi è il personaggio principale di "The Crown"?	La Regina Elisabetta II	La Principessa Diana	Camilla Parker Bowles	Il Principe Filippo
17	In quale serie TV c'è il personaggio di Tony Soprano?	The Sopranos	The Wire	Boardwalk Empire	Mad Men
18	Chi è l'artista che ha dipinto "La Primavera" e "La Nascita di Venere"?	Sandro Botticelli	Leonardo da Vinci	Michelangelo	Raffaello Sanzio
18	Cosa ha dipinto Vincent Van Gogh durante la sua vita?	Campioni di Girasoli	Paesaggi Olandesi	Auto Rappresentazioni	Flussi di Coscienza
18	Chi è l'artista noto per il suo stile "impressionista"?	Claude Monet	Vincent Van Gogh	Pablo Picasso	Salvador Dalì
18	Qual è l'opera più famosa di Michelangelo?	La Cappella Sistina	Il David	Pietà	La Creazione di Adamo
18	Come si chiama il movimento artistico caratterizzato da forme geometriche astratte e colori primari?	De Stijl	Puntinismo	Espressionismo	Barocco
18	Come si chiama il periodo artistico caratterizzato da opere ornamentali e dettagliate?	Barocco	Rinascimento	Gotico	Neoclassicismo
18	Come si chiama l'opera scultorea di Auguste Rodin raffigurante un uomo pensieroso?	Il Pensatore	Il David	Il Bacio	La Pietà
18	Qual è l'artista noto per le sue sculture surreali e bizzarre?	Salvador Dalì	Pablo Picasso	Joan Miró	Henri Matisse
18	Chi ha dipinto "La Notte Stellata"?	Vincent Van Gogh	Claude Monet	Salvador Dalì	Leonardo da Vinci
18	Come si chiama l'arte di creare immagini utilizzando solo pezzi di carta colorata?	Collage	Pittura	Mosaico	Scultura
19	Qual è il principale sistema politico dei paesi occidentali?	Democrazia	Monarchia	Dittatura	Teocrazia
19	Come si chiama il sistema politico in cui il potere è concentrato nelle mani di pochi?	Oligarchia	Plutocrazia	Teocrazia	Autocrazia
19	Cosa rappresenta l'acronimo "UE"?	Unione Europea	United States	Unione degli Stati Arabi	Unione delle Etiopie
19	Qual è il nome del sistema politico in cui il potere è ereditario?	Monarchia	Repubblica	Dittatura	Teocrazia
19	Come si chiama il sistema politico in cui il potere è detenuto da un singolo individuo?	Dittatura	Autocrazia	Anarchia	Monarchia
19	Come si chiama la forma di governo in cui il potere è detenuto da un'élite religiosa?	Teocrazia	Monarchia	Repubblica	Democrazia
19	Qual è il nome del sistema politico in cui il potere è esercitato direttamente dal popolo?	Democrazia	Repubblica	Dittatura	Teocrazia
19	Qual è il nome del sistema politico in cui il potere è diviso tra più entità indipendenti?	Federazione	Confederazione	Unitaria	Decentrata
19	Cosa rappresenta l'acronimo "ONU"?	Organizzazione delle Nazioni Unite	Organizzazione del Trattato dell'Atlantico del Nord	Organizzazione per la Cooperazione e lo Sviluppo Economico	Organizzazione per la Sicurezza e la Cooperazione in Europa
19	Qual è il nome del sistema politico in cui il potere è detenuto da un gruppo di giudici?	Giudicato	Teocrazia	Monarchia	Repubblica
20	Qual è il fiume più lungo del mondo?	Nilo	Amazzonia	Yangtze	Mississippi
20	Qual è il paese più grande del mondo per estensione territoriale?	Russia	Canada	Cina	Stati Uniti
20	Qual è la capitale degli Stati Uniti?	Washington D.C.	New York	Los Angeles	Chicago
20	Qual è la città più popolosa del mondo?	Tokyo	Shanghai	Pechino	Mumbai
20	Come si chiama l'oceano più grande della Terra?	Oceano Pacifico	Oceano Atlantico	Oceano Indiano	Oceano Artico
20	Qual è il deserto più grande del mondo?	Deserto dell'Antartide	Sahara	Deserto del Gobi	Deserto del Kalahari
20	Come si chiama il lago più profondo del mondo?	Lago Baikal	Lago Superiore	Lago Vittoria	Lago Michigan
20	Qual è il paese più piccolo del mondo?	Città del Vaticano	Monaco	Tuvalu	Nauru
20	Qual è il monte più alto del mondo?	Monte Everest	K2	Kangchenjunga	Lhotse
20	Qual è la catena montuosa più lunga del mondo?	Catena montuosa delle Ande	Catena montuosa delle Alpi	Appalachi	Urali
21	Come si chiama il mercato in cui vengono scambiate le azioni di società pubbliche?	Borsa valori	Forex	Mercato azionario	Mercato dei futures
21	Cosa rappresenta l'acronimo "GDP"?	Prodotto Interno Lordo	Prodotto Interno Lordato	Gross Domestic Product	Grand Depreciation Policy
21	Chi è considerato il padre dell'economia moderna?	Adam Smith	Karl Marx	John Maynard Keynes	Friedrich Hayek
21	Come si chiama l'istituzione che controlla la politica monetaria negli Stati Uniti?	Federal Reserve	Fondo Monetario Internazionale	Banca Mondiale	Banca d'Italia
21	Qual è la valuta più scambiata al mondo?	Dollaro statunitense	Euro	Yen giapponese	Sterlina britannica
21	Cosa rappresenta l'acronimo "CEO"?	Chief Executive Officer	Chief Economic Officer	Chief Employment Officer	Chief Energy Officer
21	Cosa rappresenta l'acronimo "ETF"?	Exchange-Traded Fund	Electronic Trade Facility	European Trade Federation	Executive Task Force
21	Come si chiama il tasso di interesse a cui le banche si prestano reciprocamente denaro?	Tasso LIBOR	Tasso di sconto	Tasso di cambio	Tasso di interesse ufficiale
21	Qual è l'indice principale utilizzato per misurare il mercato azionario statunitense?	S&P 500	Dow Jones	NASDAQ	FTSE 100
21	Come si chiama il processo di vendita di azioni al pubblico per la prima volta da parte di una società?	IPO (Initial Public Offering)	M&A (Mergers and Acquisitions)	LBO (Leveraged Buyout)	VC (Venture Capital)
22	Cosa studia la biologia?	La vita e gli organismi viventi	Le stelle e i pianeti	Le strutture atomiche	Le macchine e le loro applicazioni
22	Cosa studia l'astronomia?	Gli astri e l'universo	La terra e i suoi movimenti	La vita sul pianeta	Le cellule e gli organismi
22	Cosa studia la fisica?	Le leggi della natura e il comportamento della materia ed energia	Le cellule e gli organismi	Le stelle e i pianeti	Le strutture atomiche
22	Cosa studia la chimica?	Le proprietà e le trasformazioni della materia	Le leggi della natura e il comportamento della materia ed energia	La vita e gli organismi viventi	Le macchine e le loro applicazioni
22	Cosa studia l'informatica?	Il trattamento automatico delle informazioni	L'elettricità e il magnetismo	Le leggi della natura e il comportamento della materia ed energia	Le cellule e gli organismi
22	Cosa studia l'ingegneria?	L'applicazione della scienza alla risoluzione dei problemi pratici	La vita e gli organismi viventi	Le strutture atomiche	Le macchine e le loro applicazioni
22	Cosa studia la geologia?	La struttura e la composizione della terra	Le leggi della natura e il comportamento della materia ed energia	Le cellule e gli organismi	Le stelle e i pianeti
22	Cosa studia l'ecologia?	Le relazioni tra gli organismi e il loro ambiente	Le proprietà e le trasformazioni della materia	Le leggi della natura e il comportamento della materia ed energia	Le strutture atomiche
22	Cosa studia l'elettronica?	Il comportamento e le applicazioni degli elettroni	Le leggi della natura e il comportamento della materia ed energia	Le stelle e i pianeti	Le strutture atomiche
22	Cosa studia la matematica?	I numeri e le loro proprietà	Le leggi della natura e il comportamento della materia ed energia	Le strutture atomiche	Le macchine e le loro applicazioni
23	Come si chiama la famosa serie di romanzi di J.K. Rowling ambientata nella scuola di magia di Hogwarts?	Harry Potter	Il Signore degli Anelli	Cronache del ghiaccio e del fuoco	Il miglio verde
23	Chi è l'autore della celebre opera "La Divina Commedia"?	Dante Alighieri	Giovanni Boccaccio	Petrarca	Ugo Foscolo
23	Come si chiama il protagonista del romanzo "Moby Dick" di Herman Melville?	Ishmael	Captain Ahab	Starbuck	Queequeg
23	Qual è il nome del protagonista de "Il Piccolo Principe" di Antoine de Saint-Exupéry?	Il Piccolo Principe	Antoine	Il Narratore	La Volpe
23	Chi ha scritto "Cime tempestose"?	Emily Brontë	Charlotte Brontë	Anne Brontë	Jane Austen
23	Come si chiama il famoso detective creato da Arthur Conan Doyle?	Sherlock Holmes	Hercule Poirot	Philip Marlowe	Sam Spade
23	Cosa ha scritto Miguel de Cervantes?	Don Chisciotte	Anna Karenina	Guerra e Pace	Orgoglio e Pregiudizio
23	Qual è il libro più venduto al mondo dopo la Bibbia?	Il Piccolo Principe	Harry Potter e la Pietra Filosofale	Il Signore degli Anelli	Il Codice Da Vinci
23	Chi è l'autore de "Il Gattopardo"?	Giuseppe Tomasi di Lampedusa	Italo Calvino	Umberto Eco	Gabriel García Márquez
23	Come si chiama il protagonista de "Il Conte di Montecristo" di Alexandre Dumas?	Edmond Dantès	Fernand Mondego	Albert de Morcerf	Baron Franz d'Épinay
24	Cosa studia la geologia?	La struttura e la composizione della Terra	Le leggi della natura e il comportamento della materia ed energia	Le cellule e gli organismi	Le stelle e i pianeti
24	Cosa sono le placche tettoniche?	Blocchi rigidi della crosta terrestre che si muovono	Strati di rocce sedimentarie	Montagne vulcaniche	Barriere coralline
24	Come si chiama il processo di formazione di nuove rocce attraverso il raffreddamento e solidificazione del magma o della lava?	Solidificazione	Consolidazione	Erosione	Metamorfismo
24	Qual è il tipo di roccia più comune sulla crosta terrestre?	Rocce sedimentarie	Rocce ignee	Rocce metamorfiche	Rocce vulcaniche
24	Cosa rappresenta l'acronimo "Pangea"?	Il supercontinente originario	Catena montuosa	Oceano antico	Grande sprofondamento oceanico
